__source_id,__source_name,skill_name,skill_category,company_name,company_size,industry,city,country,country_iso,latitude,longitude,population,role_name,job_level,employment_type,skill_level_required,posted_date,min_salary,max_salary,currency,required_exp_years,education_level,job_description,remote_option
001,DATA.csv,"PyTorch, TensorFlow, Kubernetes",__NA__,__NA__,Large,Healthcare,Paris,France,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2020,148500,148500,EUR,15,Diploma,__NA__,Remote
002,DATA.csv,"Distributed Training, PyTorch, Transformers",__NA__,__NA__,Large,Healthcare,Abu Dhabi,UAE,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2023,643500,643500,AED,15,PhD,__NA__,Onsite
003,DATA.csv,"Scikit-learn, NumPy, Pandas",__NA__,__NA__,Medium,Technology,Marseille,France,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2022,108000,108000,EUR,4,Bachelors,__NA__,Remote
004,DATA.csv,"SQL, Statistics, Python",__NA__,__NA__,Medium,Education,Lyon,France,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2023,60000,60000,EUR,2,Masters,__NA__,Hybrid
005,DATA.csv,"TensorFlow, MLflow, Docker",__NA__,__NA__,Large,Consulting,Ottawa,Canada,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,105600,105600,CAD,6,Masters,__NA__,Hybrid
006,DATA.csv,"Python, Docker, PyTorch",__NA__,__NA__,Large,Healthcare,Marseille,France,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2022,126500,126500,EUR,5,Bachelors,__NA__,Remote
007,DATA.csv,"Distributed Training, Reinforcement Learning, Deep Learning",__NA__,__NA__,Large,Finance,Cambridge,United Kingdom,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2020,70200,70200,GBP,1,Bachelors,__NA__,Onsite
008,DATA.csv,"NumPy, Statistics, Pandas",__NA__,__NA__,Medium,Education,Boston,United States,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2023,253000,253000,USD,9,Masters,__NA__,Remote
009,DATA.csv,"Kubernetes, MLflow, Python",__NA__,__NA__,Large,Technology,Frankfurt,Germany,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2025,158400,158400,EUR,13,PhD,__NA__,Hybrid
010,DATA.csv,"Distributed Training, Transformers, Reinforcement Learning",__NA__,__NA__,Large,Education,Frankfurt,Germany,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2020,166400,166400,EUR,12,Bachelors,__NA__,Hybrid
011,DATA.csv,"Docker, PyTorch, TensorFlow",__NA__,__NA__,Large,Education,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2024,93500,93500,SGD,0,Bachelors,__NA__,Onsite
012,DATA.csv,"Python, RAG, LangChain",__NA__,__NA__,Large,Healthcare,Brisbane,Australia,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2025,297500,297500,AUD,15,Diploma,__NA__,Remote
013,DATA.csv,"Python, SQL, NumPy",__NA__,__NA__,Large,Finance,Manchester,United Kingdom,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2025,112000,112000,GBP,7,PhD,__NA__,Remote
014,DATA.csv,"Evaluation, Python, A/B Testing",__NA__,__NA__,Startup,Healthcare,London,United Kingdom,__NA__,__NA__,__NA__,__NA__,Prompt Engineer,__NA__,__NA__,__NA__,2021,109250,109250,GBP,8,Bachelors,__NA__,Remote
015,DATA.csv,"Python, Transformers, PyTorch",__NA__,__NA__,Large,Healthcare,Berlin,Germany,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2021,133750,133750,EUR,8,Masters,__NA__,Remote
016,DATA.csv,"SQL, Statistics, Scikit-learn",__NA__,__NA__,Medium,Consulting,Brisbane,Australia,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2020,201000,201000,AUD,8,PhD,__NA__,Onsite
017,DATA.csv,"Statistics, Scikit-learn, SQL",__NA__,__NA__,Medium,Healthcare,Noida,India,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2023,2008000,2008000,INR,14,Diploma,__NA__,Hybrid
018,DATA.csv,"Evaluation, A/B Testing, Prompt Engineering",__NA__,__NA__,Startup,Finance,Rotterdam,Netherlands,__NA__,__NA__,__NA__,__NA__,Prompt Engineer,__NA__,__NA__,__NA__,2022,104650,104650,EUR,1,Masters,__NA__,Remote
019,DATA.csv,"Reinforcement Learning, Transformers, Deep Learning",__NA__,__NA__,Startup,Finance,Gurugram,India,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2022,1355900,1355900,INR,2,Bachelors,__NA__,Remote
020,DATA.csv,"Pandas, Statistics, SQL",__NA__,__NA__,Startup,Healthcare,Bengaluru,India,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2024,2408000,2408000,INR,11,Diploma,__NA__,Hybrid
021,DATA.csv,"Distributed Training, Reinforcement Learning, Transformers",__NA__,__NA__,Startup,Education,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2022,243100,243100,SGD,15,Masters,__NA__,Onsite
022,DATA.csv,"PyTorch, Transformers, Reinforcement Learning",__NA__,__NA__,Startup,Education,Edinburgh,United Kingdom,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2022,72800,72800,GBP,1,Bachelors,__NA__,Hybrid
023,DATA.csv,"Python, RAG, Vector Databases",__NA__,__NA__,Startup,Technology,Munich,Germany,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2023,171250,171250,EUR,14,PhD,__NA__,Hybrid
024,DATA.csv,"Transformers, PyTorch, RAG",__NA__,__NA__,Startup,E-commerce,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2022,176250,176250,SGD,8,PhD,__NA__,Remote
025,DATA.csv,"PyTorch, RAG, Transformers",__NA__,__NA__,Startup,Finance,Toronto,Canada,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2025,171250,171250,CAD,9,Masters,__NA__,Onsite
026,DATA.csv,"PyTorch, Vector Databases, LangChain",__NA__,__NA__,Startup,Finance,Cambridge,United Kingdom,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2020,107500,107500,GBP,11,Diploma,__NA__,Remote
027,DATA.csv,"PyTorch, Vector Databases, Transformers",__NA__,__NA__,Startup,Finance,Manchester,United Kingdom,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2020,121250,121250,GBP,15,Diploma,__NA__,Remote
028,DATA.csv,"LangChain, RAG, Transformers",__NA__,__NA__,Medium,Consulting,Edinburgh,United Kingdom,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2022,112500,112500,GBP,12,Bachelors,__NA__,Remote
029,DATA.csv,"Python, Kubernetes, TensorFlow",__NA__,__NA__,Startup,Education,Berlin,Germany,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2020,111100,111100,EUR,4,Diploma,__NA__,Onsite
030,DATA.csv,"Scikit-learn, Pandas, NumPy",__NA__,__NA__,Medium,Healthcare,San Francisco,United States,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2021,216000,216000,USD,5,Diploma,__NA__,Remote
031,DATA.csv,"Transformers, PyTorch, Reinforcement Learning",__NA__,__NA__,Startup,E-commerce,Paris,France,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2023,93600,93600,EUR,1,Masters,__NA__,Hybrid
032,DATA.csv,"Scikit-learn, Statistics, NumPy",__NA__,__NA__,Startup,E-commerce,Frankfurt,Germany,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2021,150000,150000,EUR,14,Bachelors,__NA__,Hybrid
033,DATA.csv,"TensorFlow, Kubernetes, PyTorch",__NA__,__NA__,Large,Education,Singapore,Singapore,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2021,200200,200200,SGD,9,PhD,__NA__,Hybrid
034,DATA.csv,"NumPy, SQL, Scikit-learn",__NA__,__NA__,Medium,Technology,Munich,Germany,__NA__,__NA__,__NA__,__NA__,Data Scientist,__NA__,__NA__,__NA__,2021,111000,111000,EUR,6,PhD,__NA__,Hybrid
035,DATA.csv,"PyTorch, Vector Databases, Transformers",__NA__,__NA__,Startup,Consulting,Lyon,France,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2021,158750,158750,EUR,15,Masters,__NA__,Remote
036,DATA.csv,"MLflow, Kubernetes, PyTorch",__NA__,__NA__,Startup,Education,Frankfurt,Germany,__NA__,__NA__,__NA__,__NA__,Machine Learning Engineer,__NA__,__NA__,__NA__,2022,147400,147400,EUR,10,Bachelors,__NA__,Onsite
037,DATA.csv,"RAG, Vector Databases, Python",__NA__,__NA__,Large,Education,Vancouver,Canada,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2022,148750,148750,CAD,9,Diploma,__NA__,Hybrid
038,DATA.csv,"LangChain, PyTorch, Python",__NA__,__NA__,Large,Finance,Berlin,Germany,__NA__,__NA__,__NA__,__NA__,Generative AI Engineer,__NA__,__NA__,__NA__,2021,118750,118750,EUR,0,PhD,__NA__,Onsite
039,DATA.csv,"Deep Learning, Transformers, Distributed Training",__NA__,__NA__,Startup,Consulting,Ottawa,Canada,__NA__,__NA__,__NA__,__NA__,LLM Researcher,__NA__,__NA__,__NA__,2025,100100,100100,CAD,0,Bachelors,__NA__,Onsite
